AAPL
ABBV
ABT
ACN
AGN
AIG
ALL
AMGN
AMZN
AXP
BA
BAC
BIIB
BK
BLK
BMY
BRK.B
C
CAT
CELG
CL
CMCSA
COF
COP
COST
CSCO
CVS
CVX
DD
DHR
DIS
DOW
DUK
EMR
EXC
F
FB
FDX
FOX
FOXA
GD
GE
GILD
GM
GOOG
GOOGL
GS
HAL
HD
HON
IBM
INTC
JNJ
JPM
KMI
KO
LLY
LMT
LOW
MA
MCD
MDLZ
MDT
MET
MMM
MO
MON
MRK
MS
MSFT
NEE
NKE
ORCL
OXY
PCLN
PEP
PFE
PG
PM
PYPL
QCOM
RTN
SBUX
SLB
SO
SPG
T
TGT
TWX
TXN
UNH
UNP
UPS
USB
UTX
V
VZ
WBA
WFC
WMT
XOM
